AIRLINE,ORIGIN,DESTINAT,RDEPDATE,DEPTIME,RARRDATE,ARRTIME,CLASS
LH,TLS,FRA,04/11/2016,9:45,04/11/2016,11:35,Z
AZ,FCO,CDG,04/17/2016,17:45,04/17/2016,19:55,Q
IB,ORY,BCN,04/12/2016,9:30,04/12/2016,11:05,Q
EK,CDG,DXB,04/14/2016,21:50,04/15/2016,6:30,B
WY,MCT,DXB,04/18/2016,14:30,04/18/2016,15:35,L
LH,TLS,FRA,04/18/2016,18:45,04/18/2016,20:35,U
CE,LYS,LIG,01/26/2016,9:00,01/26/2016,10:05,U
AF,CDG,JNB,05/16/2016,23:25,05/17/2016,9:55,M
AF,CDG,ATL,09/12/2016,10:55,09/12/2016,14:20,A
AF,ORY,TLS,04/21/2016,14:25,04/21/2016,15:35,U
AF,CDG,BOS,04/09/2016,16:35,04/09/2016,18:15,K
LH,XER,FRA,04/17/2016,8:15,04/17/2016,11:00,D
VY,ALC,ORY,07/09/2015,18:30,07/09/2015,20:40,Y
VY,ALC,ORY,07/09/2015,18:30,07/09/2015,20:40,Y
VY,ALC,ORY,07/09/2015,18:30,07/09/2015,20:40,Y
VY,ALC,ORY,07/09/2015,18:30,07/09/2015,20:40,Y
BA,MAD,LHR,03/16/2016,19:50,03/16/2016,21:10,V
LO,WAW,CDG,05/12/2016,16:30,05/12/2016,18:55,T
LH,MUC,TLS,05/12/2016,18:55,05/12/2016,20:40,V
LH,MUC,TLS,05/12/2016,18:55,05/12/2016,20:40,V
LH,MUC,TLS,05/12/2016,18:55,05/12/2016,20:40,V
AF,GVA,CDG,03/30/2016,13:10,03/30/2016,14:20,T
AF,CDG,AMS,03/31/2016,20:15,03/31/2016,21:25,B
AF,GVA,CDG,03/30/2016,13:10,03/30/2016,14:20,T
AF,TLN,ORY,03/07/2016,18:30,03/07/2016,20:00,U
AF,ORY,BOD,03/04/2016,14:45,03/04/2016,15:50,W
U2,MXP,CDG,03/17/2016,17:15,03/17/2016,18:45,Y
AF,TXL,CDG,05/01/2016,18:10,05/01/2016,19:55,E
AF,CDG,NCE,03/16/2016,21:30,03/16/2016,23:00,H
AF,ATL,CDG,03/03/2016,18:15,03/04/2016,8:25,Q
AF,ORY,TLS,03/25/2016,8:05,03/25/2016,9:15,M
AF,LYS,NCE,02/25/2016,8:45,02/25/2016,9:40,L
IB,MAD,LYS,03/17/2016,21:15,03/17/2016,23:00,P
AF,BIQ,ORY,03/18/2016,16:25,03/18/2016,17:45,M
AF,MPL,ORY,03/22/2016,18:50,03/22/2016,20:10,Y
KL,AMS,LHR,03/17/2016,10:15,03/17/2016,10:45,L
AF,CDG,DTW,03/06/2016,13:50,03/06/2016,17:00,L
AF,ORY,TLS,03/25/2016,8:05,03/25/2016,9:15,M
AF,NCE,CDG,04/13/2016,18:20,04/13/2016,19:55,V
U2,TLS,ORY,03/02/2016,19:45,03/02/2016,21:10,B
AF,CDG,GVA,03/18/2016,20:45,03/18/2016,21:55,N
AF,CDG,GVA,03/24/2016,20:45,03/24/2016,21:55,R
UX,MAD,BIO,03/16/2016,14:45,03/16/2016,15:45,Q
AF,CDG,LHR,03/29/2016,10:10,03/29/2016,10:30,L
AF,CDG,LHR,03/29/2016,10:10,03/29/2016,10:30,L
AF,LYS,PIS,03/07/2016,8:50,03/07/2016,10:00,W
AF,ORY,TLS,03/14/2016,18:45,03/14/2016,19:55,Y
AF,TLS,ORY,03/04/2016,18:40,03/04/2016,20:00,W
U2,ORY,NCE,03/09/2016,18:55,03/09/2016,20:20,Y
AF,ORY,NCE,03/18/2016,19:10,03/18/2016,20:30,W
U2,ORY,NCE,03/09/2016,18:55,03/09/2016,20:20,Y
AF,ORY,TLS,03/11/2016,8:30,03/11/2016,9:40,H
AF,BOD,MRS,03/17/2016,17:05,03/17/2016,18:10,U
U2,ORY,TLS,03/07/2016,18:00,03/07/2016,19:15,Y
AF,MPL,ORY,03/22/2016,14:50,03/22/2016,16:10,A
AF,ORY,NCE,03/08/2016,17:40,03/08/2016,19:00,W
AF,BOD,LIL,03/21/2016,15:35,03/21/2016,16:55,H
T7,LIG,ORY,03/16/2016,18:15,03/16/2016,19:25,Q
AF,TLS,ORY,03/09/2016,17:50,03/09/2016,19:10,W
BE,MAN,CDG,03/16/2016,17:30,03/16/2016,20:10,M
BE,MAN,CDG,03/16/2016,17:30,03/16/2016,20:10,M
AF,TLS,ORY,03/04/2016,18:40,03/04/2016,20:00,W
LH,FRA,CDG,03/18/2016,17:30,03/18/2016,18:45,M
AF,MRS,ORY,03/02/2016,18:40,03/02/2016,20:00,W
AF,BOD,ORY,03/03/2016,18:00,03/03/2016,19:10,W
U2,BFS,CDG,03/18/2016,17:30,03/18/2016,20:15,B
AF,CDG,TRN,03/08/2016,13:15,03/08/2016,14:50,K
AF,ORY,BOD,03/25/2016,11:05,03/25/2016,12:10,H
AF,ORY,TLN,03/25/2016,13:20,03/25/2016,14:40,H
AF,ORY,TLS,03/25/2016,10:55,03/25/2016,12:05,H
AF,EDI,CDG,03/17/2016,11:35,03/17/2016,14:25,R
A5,PRG,LYS,03/17/2016,13:05,03/17/2016,14:40,E
AF,ORY,BOD,03/15/2016,18:40,03/15/2016,19:45,W
AF,BOD,MRS,03/08/2016,20:50,03/08/2016,21:55,M
AF,MPL,ORY,03/04/2016,18:50,03/04/2016,20:10,Y
AF,EDI,CDG,03/17/2016,11:35,03/17/2016,14:25,Q
AF,BES,ORY,03/11/2016,18:15,03/11/2016,19:30,W
A5,BOD,LIL,03/08/2016,19:20,03/08/2016,20:40,D
A5,NCE,LYS,03/08/2016,18:20,03/08/2016,19:15,D
AF,SXB,LYS,03/09/2016,18:05,03/09/2016,19:05,W
A5,NCE,LYS,03/11/2016,18:20,03/11/2016,19:15,Y
A5,RNS,LYS,03/15/2016,17:55,03/15/2016,19:10,Y
AF,ORY,MRS,03/10/2016,18:00,03/10/2016,19:15,S
AF,LCY,ORY,03/21/2016,18:10,03/21/2016,20:35,N
AF,DUB,CDG,05/20/2016,17:05,05/20/2016,19:55,R
AF,DUB,CDG,05/20/2016,17:05,05/20/2016,19:55,R
AF,GVA,CDG,03/08/2016,20:30,03/08/2016,21:40,K
BA,LHR,BWI,03/08/2016,13:50,03/08/2016,17:35,K
AF,BOS,CDG,03/10/2016,16:58,03/11/2016,6:10,B
AF,WAW,CDG,03/17/2016,12:45,03/17/2016,15:10,L
AF,AMS,CDG,03/09/2016,17:40,03/09/2016,18:55,Y
U2,LIN,CDG,03/11/2016,20:45,03/11/2016,22:20,B
BE,MAN,CDG,03/16/2016,17:30,03/16/2016,20:10,M
U2,BCN,LYS,03/03/2016,19:00,03/03/2016,20:30,B
AF,CDG,GVA,03/24/2016,18:30,03/24/2016,19:40,R
AF,ORY,MRS,03/25/2016,10:45,03/25/2016,12:00,H
LH,FRA,LAX,03/20/2016,10:10,03/20/2016,13:50,H
IB,MAD,VLC,04/03/2016,13:00,04/03/2016,14:00,R
AF,ORY,TLS,03/11/2016,17:25,03/11/2016,18:35,Y
U2,OPO,LYS,04/15/2016,12:15,04/15/2016,15:20,Y
U2,OPO,LYS,04/15/2016,99:99,,99:99,Y
AF,CMN,CDG,04/08/2016,18:20,04/08/2016,22:20,R
LX,ZRH,GVA,03/08/2016,13:05,03/08/2016,13:55,C
BA,LHR,LYS,03/18/2016,19:10,03/18/2016,21:50,H
AF,NCE,ORY,04/29/2016,14:25,04/29/2016,15:50,N
AF,LYS,BES,03/21/2016,8:35,03/21/2016,10:05,S
AF,MRS,BOD,03/25/2016,15:10,03/25/2016,16:20,S
LX,ZRH,GVA,03/08/2016,13:05,03/08/2016,13:55,H
AF,LIL,BOD,04/01/2016,17:20,04/01/2016,18:40,S
AF,BOD,ORY,03/24/2016,19:20,03/24/2016,20:30,Y
AF,ORY,TLN,03/11/2016,16:25,03/11/2016,17:45,U
AF,TRN,CDG,03/09/2016,10:55,03/09/2016,12:30,H
LH,FRA,PHL,03/07/2016,12:55,03/07/2016,16:15,L
AF,ORY,BOD,04/14/2016,16:40,04/14/2016,17:45,R
AF,CFE,ORY,03/07/2016,18:45,03/07/2016,19:40,H
AF,ORY,MPL,03/30/2016,9:25,03/30/2016,10:40,V
BA,LYS,LHR,03/14/2016,7:00,03/14/2016,7:40,L
AF,MRS,LIL,01/15/2016,20:20,01/15/2016,21:50,S
SS,PTP,ORY,03/18/2016,18:50,03/19/2016,7:45,L
UX,MAD,ORY,03/11/2016,17:20,03/11/2016,19:20,A
U2,ORY,TLS,03/17/2016,15:30,03/17/2016,16:45,B
AF,NCE,ORY,03/24/2016,19:40,03/24/2016,21:05,A
BA,LHR,SFO,02/01/2016,15:00,02/01/2016,18:05,K
BA,LHR,SFO,02/01/2016,15:00,02/01/2016,18:05,K
AF,NCE,LYS,03/10/2016,18:20,03/10/2016,19:15,W
UA,IAD,CDG,04/15/2016,17:20,04/16/2016,6:55,K
AF,LIS,CDG,04/08/2016,18:35,04/08/2016,22:05,R
AF,NTE,LIL,03/15/2016,19:00,03/15/2016,20:05,S
AF,LYS,LIL,03/18/2016,15:35,03/18/2016,16:50,S
AF,BOD,ORY,03/09/2016,18:00,03/09/2016,19:10,W
T7,PGX,ORY,03/11/2016,18:25,03/11/2016,19:45,L
AF,NTE,LIL,03/24/2016,15:30,03/24/2016,16:35,U
AF,NTE,LIL,03/24/2016,15:30,03/24/2016,16:35,U
AF,MRS,BOD,03/15/2016,18:55,03/15/2016,20:05,M
BA,LHR,NCE,03/09/2016,16:40,03/09/2016,19:40,V
AF,MRS,BOD,03/15/2016,18:55,03/15/2016,20:05,M
4U,TXL,CDG,03/18/2016,18:10,03/18/2016,19:55,B
4U,TXL,CDG,03/18/2016,18:10,03/18/2016,19:55,B
4U,TXL,CDG,03/18/2016,18:10,03/18/2016,19:55,M
LH,FRA,LJU,05/10/2016,16:30,05/10/2016,17:45,L
AF,BOD,LIL,03/21/2016,19:20,03/21/2016,20:40,H
TP,LIS,ORY,03/10/2016,16:20,03/10/2016,19:50,U
AF,NTE,LIL,03/17/2016,19:00,03/17/2016,20:05,L
AF,BCN,CDG,03/17/2016,18:00,03/17/2016,19:55,B
AF,BOD,MRS,03/17/2016,17:05,03/17/2016,18:10,M
SN,BRU,LYS,03/11/2016,20:45,03/11/2016,22:05,M
AF,CMN,CDG,04/12/2016,18:20,04/12/2016,22:20,R
AF,CMN,CDG,04/12/2016,18:20,04/12/2016,22:20,R
AF,TXL,CDG,04/06/2016,18:10,04/06/2016,19:55,L
AF,ORY,TLS,03/11/2016,17:25,03/11/2016,18:35,S
AF,ORY,MRS,03/10/2016,18:45,03/10/2016,20:00,S
AF,LIN,ORY,04/15/2016,20:15,04/15/2016,21:40,Q
AF,LIN,CDG,04/22/2016,18:15,04/22/2016,19:45,E
AF,LIN,ORY,04/29/2016,20:15,04/29/2016,21:40,V
AF,CDG,LHR,03/14/2016,10:15,03/14/2016,10:35,E
T7,LIG,ORY,03/09/2016,18:15,03/09/2016,19:25,Y
DL,SFO,LAX,03/23/2016,19:00,03/23/2016,20:25,H
BA,LHR,CDG,03/09/2016,19:30,03/09/2016,21:45,L
BA,LHR,CDG,03/09/2016,19:30,03/09/2016,21:45,M
AF,AMS,SXB,04/07/2016,10:00,04/07/2016,11:05,R
AF,LIN,CDG,05/07/2016,9:55,05/07/2016,11:25,V
AF,BUD,CDG,04/15/2016,15:45,04/15/2016,18:05,V
AF,BOD,ORY,03/21/2016,18:00,03/21/2016,19:10,Y
AF,BOD,ORY,03/21/2016,18:00,03/21/2016,19:10,Y
AF,MUC,CDG,03/16/2016,9:45,03/16/2016,11:25,L
U2,ORY,TLS,03/11/2016,8:30,03/11/2016,9:45,B
BE,SOU,MAN,03/15/2016,14:50,03/15/2016,15:50,Z
U2,BRU,BSL,03/24/2016,17:45,03/24/2016,18:45,B
AF,TRN,CDG,04/07/2016,18:50,04/07/2016,20:15,L
AF,AMS,CDG,03/11/2016,17:40,03/11/2016,18:55,Y
U2,BRU,BSL,03/24/2016,17:45,03/24/2016,18:45,B
AF,LYS,TLS,03/17/2016,18:30,03/17/2016,19:30,W
AF,MRS,ORY,03/16/2016,18:40,03/16/2016,20:00,Y
AT,CMN,LYS,04/01/2016,12:30,04/01/2016,16:05,T
AF,CDG,LHR,03/14/2016,10:15,03/14/2016,10:35,H
U2,BRU,BSL,03/24/2016,17:45,03/24/2016,18:45,B
BA,LHR,LYS,03/18/2016,19:10,03/18/2016,21:50,Y
AF,BOD,ORY,03/07/2016,18:00,03/07/2016,19:10,W
AF,CDG,NTE,03/05/2016,9:35,03/05/2016,10:40,Y
AF,CDG,NCL,05/16/2016,10:20,05/16/2016,11:05,T
AF,ORY,PUF,03/25/2016,11:10,03/25/2016,12:30,U
AZ,LIN,CDG,03/17/2016,12:55,03/17/2016,14:25,L
LH,FRA,DXB,03/14/2016,13:20,03/14/2016,22:35,Q
U2,LGW,LYS,03/18/2016,19:50,03/18/2016,22:25,B
AF,BOD,MRS,03/08/2016,17:05,03/08/2016,18:10,W
AF,MPL,ORY,03/08/2016,18:50,03/08/2016,20:10,W
AF,ORY,TLN,03/22/2016,16:25,03/22/2016,17:45,H
AF,BOD,MRS,03/08/2016,17:05,03/08/2016,18:10,W
AF,ORY,NCE,03/24/2016,18:35,03/24/2016,19:55,W
AF,MRS,ORY,03/17/2016,18:40,03/17/2016,20:00,W
AF,ORY,TLS,03/15/2016,18:45,03/15/2016,19:55,W
AF,BOD,ORY,03/08/2016,16:35,03/08/2016,17:45,W
AF,TLS,ORY,03/21/2016,16:15,03/21/2016,17:35,B
IB,MAD,LYS,04/06/2016,16:10,04/06/2016,17:55,P
AF,TRN,CDG,03/10/2016,19:05,03/10/2016,20:40,H
AF,ORY,BOD,03/10/2016,19:40,03/10/2016,20:45,W
AF,ORY,MRS,03/25/2016,15:30,03/25/2016,16:45,U
AF,NTE,MRS,03/15/2016,15:05,03/15/2016,16:20,B
AF,ORY,BOD,03/10/2016,17:25,03/10/2016,18:30,S
AF,MPL,ORY,03/08/2016,18:50,03/08/2016,20:10,W
AF,TRN,CDG,03/10/2016,19:05,03/10/2016,20:40,H
U2,ORY,TLS,03/17/2016,15:30,03/17/2016,16:45,Y
AF,ORY,TLN,03/25/2016,10:40,03/25/2016,12:00,M
AF,ORY,TLN,03/31/2016,18:30,03/31/2016,19:50,M
AF,LHR,CDG,01/21/2016,15:55,01/21/2016,18:10,H
AF,LIN,ORY,01/14/2016,20:20,01/14/2016,21:45,T
AF,TUN,CDG,01/19/2016,10:40,01/19/2016,13:15,L
AF,FCO,CDG,01/30/2016,16:55,01/30/2016,19:05,X
AF,LAI,ORY,01/14/2016,18:00,01/14/2016,19:15,Y
AF,MPL,ORY,01/21/2016,16:55,01/21/2016,18:15,Y
AF,LHR,CDG,01/14/2016,12:15,01/14/2016,14:30,T
AF,TUN,CDG,01/20/2016,17:25,01/20/2016,20:00,K
AF,FCO,CDG,01/28/2016,12:55,01/28/2016,15:05,X
AF,TUN,CDG,01/19/2016,10:40,01/19/2016,13:15,L
AF,CMN,CDG,04/14/2016,18:20,04/14/2016,22:20,N
AF,NTE,LIL,03/30/2016,15:30,03/30/2016,16:35,U
AF,ORY,MPL,03/11/2016,16:45,03/11/2016,18:00,S
TP,LIS,ORY,03/10/2016,16:20,03/10/2016,19:50,A
AF,PUF,ORY,03/18/2016,16:35,03/18/2016,17:55,Y
BA,LHR,CDG,03/14/2016,19:30,03/14/2016,21:45,L
AF,CFE,ORY,03/08/2016,18:45,03/08/2016,19:40,W
BA,LHR,CDG,03/15/2016,17:25,03/15/2016,19:40,V
AF,NCE,ORY,03/10/2016,17:50,03/10/2016,19:15,W
AF,BOD,MRS,03/17/2016,17:05,03/17/2016,18:10,L
AF,GVA,CDG,03/17/2016,18:15,03/17/2016,19:30,M
AF,ORY,MRS,03/25/2016,15:30,03/25/2016,16:45,U
LH,MUC,WRO,03/14/2016,14:45,03/14/2016,15:55,H
U2,SXF,ORY,02/23/2016,20:25,02/23/2016,22:20,Y
AF,NCE,LYS,03/22/2016,18:20,03/22/2016,19:15,M
AF,ORY,MRS,03/25/2016,10:45,03/25/2016,12:00,H
AF,PIS,LYS,03/15/2016,17:50,03/15/2016,18:55,L
AF,RNS,LYS,03/29/2016,18:00,03/29/2016,19:15,B
BA,LHR,CDG,03/09/2016,17:25,03/09/2016,19:40,M
AF,MPL,ORY,03/24/2016,18:50,03/24/2016,20:10,Y
AF,MRS,ORY,03/18/2016,17:30,03/18/2016,18:50,Y
AF,TXL,CDG,03/23/2016,10:05,03/23/2016,11:50,H
LH,MUC,LYS,04/06/2016,6:55,04/06/2016,8:15,T
AF,TLS,ORY,03/15/2016,17:50,03/15/2016,19:10,W
AF,MRS,ORY,03/15/2016,17:30,03/15/2016,18:50,Y
AF,MPL,ORY,03/15/2016,16:55,03/15/2016,18:15,Y
A5,LYS,BOD,03/17/2016,18:55,03/17/2016,20:00,Y
LX,ZRH,CDG,03/15/2016,20:45,03/15/2016,22:05,H
AF,ORY,TLS,03/15/2016,17:25,03/15/2016,18:35,W
AF,LYS,TLS,03/14/2016,18:30,03/14/2016,19:30,M
KL,AMS,MNL,03/28/2016,20:40,03/29/2016,18:30,Z
TP,OPO,ORY,03/10/2016,19:05,03/10/2016,22:15,A
AF,MRS,ORY,03/15/2016,17:30,03/15/2016,18:50,W
AF,MPL,ORY,03/11/2016,16:55,03/11/2016,18:15,Y
AF,NCE,ORY,04/03/2016,18:00,04/03/2016,19:25,T
AF,NCE,ORY,04/29/2016,15:00,04/29/2016,16:25,E
AF,ORY,MPL,03/25/2016,11:35,03/25/2016,12:50,U
AF,NCE,ORY,03/16/2016,17:50,03/16/2016,19:15,Y
AF,LCY,ORY,03/16/2016,18:10,03/16/2016,20:35,H
AF,AMS,CDG,03/23/2016,18:55,03/23/2016,20:10,B
TP,LIS,ORY,03/24/2016,16:20,03/24/2016,19:50,A
AF,MPL,ORY,03/24/2016,18:50,03/24/2016,20:10,W
AF,CFE,ORY,03/17/2016,16:40,03/17/2016,17:50,A
KL,AMS,CDG,04/20/2016,6:45,04/20/2016,8:00,E
KL,AMS,SFO,04/20/2016,9:50,04/20/2016,11:45,N
AF,ORY,TLS,03/27/2016,18:25,03/27/2016,19:35,E
AF,TLS,CDG,03/11/2016,18:25,03/11/2016,19:55,S
AF,BOD,ORY,04/14/2016,18:30,04/14/2016,19:40,W
AF,BIQ,ORY,04/27/2016,16:35,04/27/2016,17:55,R
LH,MUC,HAM,04/26/2016,9:00,04/26/2016,10:15,W
LH,MUC,CDG,04/27/2016,19:05,04/27/2016,20:40,H
AF,BIQ,LYS,03/08/2016,18:10,03/08/2016,19:25,W
AF,BRU,LYS,04/15/2016,17:55,04/15/2016,19:20,L
AF,CDG,GVA,03/30/2016,20:45,03/30/2016,21:55,N
AF,MRS,ORY,03/30/2016,17:25,03/30/2016,18:45,B
AF,LYS,BOD,03/15/2016,15:15,03/15/2016,16:20,S
AF,DXB,CDG,03/24/2016,1:40,03/24/2016,6:05,S
A5,LYS,BOD,03/10/2016,20:10,03/10/2016,21:15,W
IB,MAD,LYS,03/17/2016,21:15,03/17/2016,23:00,P
DL,SFO,LAX,03/23/2016,19:00,03/23/2016,20:25,H
DL,MSP,DLH,04/17/2016,15:15,04/17/2016,16:09,K
SK,CPH,CDG,03/18/2016,12:45,03/18/2016,14:45,M
AF,BOD,ORY,03/15/2016,18:00,03/15/2016,19:10,W
AF,NCE,ORY,03/22/2016,16:30,03/22/2016,17:55,H
BA,LGW,BOD,03/18/2016,16:50,03/18/2016,19:25,M
AF,TLS,ORY,03/16/2016,18:40,03/16/2016,20:00,W
AF,LIL,NTE,03/22/2016,17:15,03/22/2016,18:25,L
AF,JFK,CDG,04/28/2016,21:45,04/29/2016,11:10,S
AA,LAX,PHL,03/24/2016,14:00,03/24/2016,22:04,G
AF,GVA,CDG,03/16/2016,18:15,03/16/2016,19:30,B
AF,TRN,CDG,04/08/2016,15:40,04/08/2016,17:15,L
AF,MRS,ORY,03/21/2016,16:15,03/21/2016,17:35,V
AF,MRS,ORY,03/21/2016,16:15,03/21/2016,17:35,V
AF,MRS,ORY,03/21/2016,16:15,03/21/2016,17:35,V
AF,LCY,ORY,03/18/2016,18:10,03/18/2016,20:35,K
AF,BIQ,ORY,04/27/2016,16:35,04/27/2016,17:55,N
U2,RAK,LYS,03/19/2016,17:35,03/19/2016,21:45,Y
AF,BIQ,ORY,04/27/2016,16:35,04/27/2016,17:55,N
AF,BOD,ORY,03/23/2016,18:00,03/23/2016,19:10,W
AF,CDG,NCE,03/15/2016,21:30,03/15/2016,23:00,U
CX,HKG,CDG,04/07/2016,,04/07/2016,6:55,Y
LH,MUC,DME,04/04/2016,11:20,04/04/2016,15:20,H
AF,FRA,CDG,04/09/2016,18:40,04/09/2016,20:00,T
BA,LHR,MRS,03/22/2016,16:55,03/22/2016,19:50,N
AF,NCE,CDG,03/15/2016,19:05,03/15/2016,20:40,U
AF,BCN,CDG,03/17/2016,20:25,03/17/2016,22:20,Y
AF,ORY,MRS,03/17/2016,18:45,03/17/2016,20:00,S
AF,LHR,CDG,03/16/2016,20:10,03/16/2016,22:20,U
AF,CDG,SVO,03/21/2016,13:35,03/21/2016,19:20,L
AF,CDG,SVO,03/21/2016,13:35,03/21/2016,19:20,L
AF,CDG,SVO,03/21/2016,13:35,03/21/2016,19:20,L
AF,TLS,LYS,03/30/2016,13:35,03/30/2016,14:35,Q
AF,FCO,CDG,01/29/2016,12:55,01/29/2016,15:05,X
BA,LHR,LYS,03/15/2016,19:10,03/15/2016,21:50,L
AF,BOD,LIL,03/22/2016,19:20,03/22/2016,20:40,S
LH,MUC,CDG,04/15/2016,19:05,04/15/2016,20:40,V
AF,LIS,CDG,03/22/2016,18:40,03/22/2016,22:10,M
AF,NTE,LIL,03/17/2016,15:30,03/17/2016,16:35,L
AF,LYS,NTE,04/19/2016,16:10,04/19/2016,17:25,R
AF,WAW,CDG,04/08/2016,19:05,04/08/2016,21:30,R
KL,AMS,NTE,04/15/2016,20:25,04/15/2016,22:00,L
KL,AMS,HAM,04/18/2016,16:45,04/18/2016,17:50,T
AF,TRN,CDG,04/07/2016,18:50,04/07/2016,20:15,H
U2,LGW,LYS,03/24/2016,19:50,03/24/2016,22:25,B
U2,LGW,LYS,04/21/2016,19:45,04/21/2016,22:25,B
U2,LGW,LYS,04/28/2016,19:45,04/28/2016,22:25,B
AF,MUC,CDG,07/03/2016,16:00,07/03/2016,17:45,R
AF,CDG,GVA,03/24/2016,15:00,03/24/2016,16:10,E
IB,BCN,ORY,03/16/2016,17:00,03/16/2016,18:45,L
AF,BOD,ORY,03/16/2016,16:35,03/16/2016,17:45,W
AF,JFK,CDG,03/18/2016,20:15,03/19/2016,8:35,Y
DL,BOS,CDG,03/25/2016,17:58,03/26/2016,6:10,K
AF,BOS,CDG,06/22/2016,20:20,06/23/2016,9:10,A
AF,LYS,BOD,03/03/2016,16:25,03/03/2016,17:30,S
AF,ORY,BOD,03/11/2016,11:05,03/11/2016,12:10,S
AF,MXP,LYS,03/29/2016,18:05,03/29/2016,19:20,L
AF,LIL,NTE,03/22/2016,17:15,03/22/2016,18:25,L
AF,LIN,CDG,03/22/2016,18:15,03/22/2016,19:45,Y
SN,BRU,LYS,03/16/2016,20:45,03/16/2016,22:05,Y
AF,CDG,WAW,03/15/2016,16:00,03/15/2016,18:10,K
AF,NCE,ORY,04/06/2016,17:40,04/06/2016,19:05,W
AF,TLS,ORY,03/18/2016,17:50,03/18/2016,19:10,W
T7,LIG,ORY,03/18/2016,18:15,03/18/2016,19:25,Y
AF,NCE,TLS,03/21/2016,20:20,03/21/2016,21:50,A
AF,BOD,ORY,03/23/2016,16:35,03/23/2016,17:45,W
AF,AMS,NTE,04/21/2016,20:25,04/21/2016,22:00,H
AF,AMS,NTE,04/21/2016,20:25,04/21/2016,22:00,H
AF,MRS,ORY,03/23/2016,18:40,03/23/2016,20:00,S
BA,LHR,CDG,03/17/2016,16:15,03/17/2016,18:35,V
AF,AMS,NTE,03/22/2016,20:25,03/22/2016,22:00,B
AF,CDG,NTE,03/11/2016,12:35,03/11/2016,13:40,A
AF,BOD,MRS,03/17/2016,17:05,03/17/2016,18:10,L
AF,MRS,BOD,04/26/2016,20:10,04/26/2016,21:15,V
AF,TLS,LIL,03/23/2016,15:30,03/23/2016,17:05,S
AF,MAD,CDG,04/03/2016,18:25,04/03/2016,20:30,N
AF,BES,ORY,03/15/2016,18:15,03/15/2016,19:30,W
EK,DXB,MCT,04/15/2016,8:30,04/15/2016,9:30,B
EK,DXB,CDG,04/21/2016,14:50,04/21/2016,20:05,M
EK,DXB,MCT,04/15/2016,8:30,04/15/2016,9:30,B
EK,DXB,CDG,04/21/2016,14:50,04/21/2016,20:05,M
AF,MPL,ORY,03/17/2016,18:50,03/17/2016,20:10,S
CZ,TPE,PVG,04/02/2016,17:05,04/02/2016,19:25,Z
LX,ZRH,WAW,03/29/2016,12:05,03/29/2016,14:00,H
AF,CFR,LYS,03/17/2016,18:10,03/17/2016,19:20,W
AF,ORY,MPL,03/24/2016,18:45,03/24/2016,20:00,Y
AF,TLS,LIL,03/23/2016,19:55,03/23/2016,21:30,Y
AF,BOD,ORY,03/16/2016,19:20,03/16/2016,20:30,W
AF,CDG,NTE,03/23/2016,21:05,03/23/2016,22:10,J
AF,MEX,GDL,06/06/2016,21:00,06/06/2016,22:27,J
AF,BOS,CDG,04/08/2016,19:13,04/09/2016,8:25,U
AF,MAN,CDG,04/06/2016,17:35,04/06/2016,20:10,M
AF,CDG,TRN,04/13/2016,8:40,04/13/2016,10:15,T
U2,SXF,ORY,04/14/2016,20:30,04/14/2016,22:20,Y
AF,MRS,ORY,03/15/2016,18:40,03/15/2016,20:00,S
AF,NCE,ORY,03/30/2016,17:40,03/30/2016,19:05,S
AF,BOD,ORY,03/22/2016,18:00,03/22/2016,19:10,W
AF,NTE,LYS,04/08/2016,13:35,04/08/2016,14:45,Q
AF,TLS,ORY,04/01/2016,16:20,04/01/2016,17:40,T
U2,LYS,TLS,04/08/2016,18:00,04/08/2016,19:05,B
U2,LYS,TLS,04/08/2016,18:00,04/08/2016,19:05,B
BA,LHR,EDI,03/14/2016,14:00,03/14/2016,15:25,M
AF,CDG,NTE,03/15/2016,16:40,03/15/2016,17:45,W
AF,CDG,SLC,04/26/2016,10:55,04/26/2016,14:00,K
AF,CDG,BOD,04/30/2016,7:30,04/30/2016,8:45,Y
AF,ORY,BIQ,03/24/2016,20:40,03/24/2016,21:55,Y
T7,LIG,ORY,03/18/2016,18:15,03/18/2016,19:25,Y
AF,TXL,CDG,04/30/2016,10:05,04/30/2016,11:55,T
AF,TLS,ORY,03/22/2016,16:15,03/22/2016,17:35,W
AF,BCN,CDG,03/22/2016,18:00,03/22/2016,19:55,L
AF,MRS,ORY,03/15/2016,18:40,03/15/2016,20:00,S
AF,ORY,MRS,03/27/2016,20:05,03/27/2016,21:20,V
AF,BOD,ORY,03/23/2016,16:35,03/23/2016,17:45,W
AF,CDG,MAN,03/21/2016,18:20,03/21/2016,18:45,K
AF,AMS,NTE,04/21/2016,20:25,04/21/2016,22:00,H
U2,ORY,TLS,04/07/2016,15:30,04/07/2016,16:45,Y
VY,BCN,ORY,03/16/2016,17:00,03/16/2016,18:45,S
EK,DXB,MCT,04/15/2016,8:30,04/15/2016,9:30,B
EK,DXB,CDG,04/21/2016,14:50,04/21/2016,20:05,M
EK,DXB,MCT,04/15/2016,8:30,04/15/2016,9:30,B
EK,DXB,CDG,04/21/2016,14:50,04/21/2016,20:05,M
U2,LGW,LYS,03/25/2016,8:15,03/25/2016,10:50,Y
T7,LIG,ORY,03/18/2016,18:15,03/18/2016,19:25,Y
